Date,New followers,Total followers,Reached audience,Engaged audience
2025/08/14,43,11189,621814,2309
2025/08/15,64,11240,1134861,4802
2025/08/16,58,11243,1178574,5219
2025/08/17,60,11249,1194347,4501
2025/08/18,12,11253,116397,864
2025/08/19,12,11251,109358,866
2025/08/20,13,11259,106621,811
2025/08/21,6,11266,106627,630
2025/08/22,12,11271,95600,602
2025/08/23,11,11283,94104,507
2025/08/24,12,11318,86113,746
2025/08/25,21,11347,220001,1233
2025/08/26,54,11358,330702,6948
2025/08/27,33,11364,271954,3330
2025/08/28,17,11372,225279,1424
2025/08/29,12,11377,211715,972
2025/08/30,12,11395,225827,966
2025/08/31,9,11424,225861,735
2025/09/01,25,11447,399865,4533
2025/09/02,32,11472,376063,3196
2025/09/03,27,11480,393015,3131
2025/09/04,31,11494,337936,2184
2025/09/05,15,11508,372962,2324
2025/09/06,21,11511,430159,2088
2025/09/07,22,11526,462423,2044
2025/09/08,11,11549,342937,2109
2025/09/09,20,11565,376651,2016
2025/09/10,25,11577,360335,2516
2025/09/11,20,11593,332240,2063
2025/09/12,22,11603,338823,1681
2025/09/13,23,11620,344776,1533
2025/09/14,17,11642,348215,1438
2025/09/15,21,11639,387406,2503
2025/09/16,25,11637,394074,2764
2025/09/17,2,11634,30682,251
2025/09/18,1,11632,509,17
2025/09/19,0,11631,405,21
2025/09/20,2,11629,333,14
2025/09/21,1,11623,402,24
2025/09/22,2,11624,301,25
2025/09/23,0,11620,223,6
2025/09/24,3,11621,70,5
2025/09/25,0,11620,194,114
2025/09/26,4,11620,380,18
2025/09/27,0,11621,146,5
2025/09/28,2,11617,339,14
2025/09/29,3,11616,539,26
2025/09/30,2,11615,423,18
2025/10/01,0,11614,757,140
2025/10/02,2,11610,741,20
2025/10/03,1,11609,286,2
2025/10/04,2,11603,411,17
2025/10/05,2,11602,271,16
2025/10/06,1,11599,2607,32
2025/10/07,1,11597,1708,23
2025/10/08,0,11592,2615,32
2025/10/09,2,11586,1295,23
2025/10/10,0,11585,183,10
2025/10/11,1,11580,1870,34
2025/10/12,3,11581,2085,69