Date,Video views,Reached audience,Profile views,Likes,Shares,Comments,Product link clicks,Product link complete payment,Product link GMV,Website clicks ,Phone number clicks ,Leads submission,App download link clicks,Net growth,New followers,Lost followers
2025/08/14,624198,621814,894,1168,97,27,0,0,0,0,0,0,0,37,43,6
2025/08/15,1137524,1134861,2011,2549,228,31,0,0,0,0,0,0,0,52,64,12
2025/08/16,1182425,1178574,2036,2572,215,36,0,0,0,0,0,0,0,51,58,7
2025/08/17,1198941,1194347,2133,2275,102,31,0,0,0,0,0,0,0,45,60,15
2025/08/18,117247,116397,491,413,20,6,0,0,0,0,0,0,0,1,12,11
2025/08/19,110490,109358,263,400,14,2,0,0,0,0,0,0,0,4,12,8
2025/08/20,107519,106621,222,425,12,3,0,0,0,0,0,0,0,3,13,10
2025/08/21,107669,106627,189,297,11,5,0,0,0,0,0,0,0,-4,6,10
2025/08/22,96433,95600,162,239,19,3,0,0,0,0,0,0,0,5,12,7
2025/08/23,94817,94104,178,267,13,0,0,0,0,0,0,0,0,6,11,5
2025/08/24,86439,86113,158,387,8,51,0,0,0,0,0,0,0,4,12,8
2025/08/25,220612,220001,286,788,16,7,0,0,0,0,0,0,0,9,21,12
2025/08/26,332307,330702,1001,4849,103,164,0,0,0,0,0,0,0,27,54,27
2025/08/27,273136,271954,538,2418,35,58,0,0,0,0,0,0,0,27,33,6
2025/08/28,225956,225279,272,973,21,14,0,0,0,0,0,0,0,8,17,9
2025/08/29,212694,211715,192,555,13,12,0,0,0,0,0,0,0,2,12,10
2025/08/30,226875,225827,282,556,20,13,0,0,0,0,0,0,0,8,12,4
2025/08/31,226890,225861,343,398,19,4,0,0,0,0,0,0,0,1,9,8
2025/09/01,400490,399865,389,2937,136,34,0,0,0,0,0,0,0,17,25,8
2025/09/02,376913,376063,348,1930,131,28,0,0,0,0,0,0,0,27,32,5
2025/09/03,393806,393015,381,1938,107,22,0,0,0,0,0,0,0,20,27,7
2025/09/04,338745,337936,340,1367,59,10,0,0,0,0,0,0,0,23,31,8
2025/09/05,373904,372962,543,1213,63,29,0,0,0,0,0,0,0,5,15,10
2025/09/06,431103,430159,621,1152,77,12,0,0,0,0,0,0,0,12,21,9
2025/09/07,463444,462423,672,1104,66,13,0,0,0,0,0,0,0,13,22,9
2025/09/08,343737,342937,659,1225,37,19,0,0,0,0,0,0,0,2,11,9
2025/09/09,377756,376651,595,1151,43,15,0,0,0,0,0,0,0,14,20,6
2025/09/10,362000,360335,602,1553,42,21,0,0,0,0,0,0,0,20,25,5
2025/09/11,334103,332240,531,1304,34,12,0,0,0,0,0,0,0,14,20,6
2025/09/12,340407,338823,529,1024,39,7,0,0,0,0,0,0,0,11,22,11
2025/09/13,346671,344776,517,908,36,14,0,0,0,0,0,0,0,14,23,9
2025/09/14,349960,348215,545,856,25,9,0,0,0,0,0,0,0,9,17,8
2025/09/15,388119,387406,675,1521,79,15,0,0,0,0,0,0,0,14,21,7
2025/09/16,394842,394074,569,1524,128,11,0,0,0,0,0,0,0,17,25,8
2025/09/17,31165,30682,144,151,7,1,0,0,0,0,0,0,0,-6,2,8
2025/09/18,1080,509,63,11,2,0,0,0,0,0,0,0,0,-2,1,3
2025/09/19,861,405,33,10,3,1,0,0,0,0,0,0,0,-4,0,4
2025/09/20,863,333,53,7,0,0,0,0,0,0,0,0,0,-8,2,10
2025/09/21,1126,402,57,8,5,0,0,0,0,0,0,0,0,-3,1,4
2025/09/22,681,301,30,15,2,1,0,0,0,0,0,0,0,-6,2,8
2025/09/23,667,223,27,4,0,0,0,0,0,0,0,0,0,-9,0,9
2025/09/24,731,70,62,3,0,0,0,0,0,0,0,0,0,-4,3,7
2025/09/25,740,194,38,16,0,0,0,0,0,0,0,0,0,-7,0,7
2025/09/26,713,380,33,11,1,0,0,0,0,0,0,0,0,-1,4,5
2025/09/27,610,146,32,0,0,0,0,0,0,0,0,0,0,-3,0,3
2025/09/28,654,339,42,7,0,1,0,0,0,0,0,0,0,-4,2,6
2025/09/29,772,539,43,20,0,2,0,0,0,0,0,0,0,0,3,3
2025/09/30,883,423,75,10,0,3,0,0,0,0,0,0,0,-5,2,7
2025/10/01,1295,757,65,29,9,5,0,0,0,0,0,0,0,-4,0,4
2025/10/02,1130,741,47,12,1,1,0,0,0,0,0,0,0,-6,2,8
2025/10/03,735,286,36,1,0,0,0,0,0,0,0,0,0,-4,1,5
2025/10/04,1007,411,28,9,0,0,0,0,0,0,0,0,0,-8,2,10
2025/10/05,822,271,38,4,2,1,0,0,0,0,0,0,0,-7,2,9
2025/10/06,2968,2607,48,13,3,1,0,0,0,0,0,0,0,-8,1,9
2025/10/07,2210,1708,72,12,0,1,0,0,0,0,0,0,0,-3,1,4
2025/10/08,3107,2615,41,15,2,0,0,0,0,0,0,0,0,-6,0,6
2025/10/09,1578,1295,43,14,1,0,0,0,0,0,0,0,0,-8,2,10
2025/10/10,975,183,36,3,0,2,0,0,0,0,0,0,0,-8,0,8
2025/10/11,2285,1870,51,13,2,2,0,0,0,0,0,0,0,-13,1,14
2025/10/12,2539,2085,57,29,3,4,0,0,0,0,0,0,0,-5,3,8